BaselineName,Feature,MAE,MSE,RMSE,R2,Pearson,Spearman,Time
XGBoost,OneHot,0.9638219273864825,1.5509071676054695,1.5509071676054695,0.1554900053155206,0.4951078209831301,0.5175310342034386,0.7
GradientBoosting,OneHot,0.8934904039643555,1.3235932681608733,1.3235932681608733,0.279268439009947,0.5586814139143796,0.5761284704643487,0.32
XGBoost,K-mer,0.9191349082001677,1.403047198059035,1.403047198059035,0.23600367157737634,0.5335848100838522,0.544294364229157,0.74
GradientBoosting,K-mer,0.8884595394641084,1.2942676547335945,1.2942676547335945,0.2952370115698556,0.5600269838957717,0.5666673416901239,0.51
